sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,occupation
male,9,1122,113,1,1,1,5,111,131,2,1
male,7,1131,112,1,1,1,5,111,131,1,1
female,8,1122,113,1,1,1,5,111,138,2,1
male,10,1122,125,1,1,1,5,111,137,2,1
male,10,1122,114,1,1,1,2,111,134,2,0
male,8,1122,113,1,1,1,5,111,133,2,1
male,9,1122,114,1,1,3,5,111,134,2,1
female,6,1121,112,1,1,1,3,111,138,2,1
male,8,1122,114,1,1,1,5,120,135,2,1
male,9,1132,114,1,1,1,5,111,138,1,1
male,4,1110,114,1,1,1,3,112,138,1,0
female,4,1110,114,1,1,1,3,111,131,1,0
male,8,1122,113,1,1,1,1,111,122,2,0
female,8,1122,125,1,1,1,2,111,131,2,0
female,9,1122,114,1,1,1,3,111,134,2,0
female,8,1122,114,1,1,1,2,111,135,2,0
male,7,1122,114,1,1,1,5,111,131,2,1
male,9,1210,111,1,1,1,3,111,122,1,1
female,7,1132,114,1,1,1,5,111,138,1,1
female,5,1131,112,1,1,1,3,111,138,1,0
female,9,1122,114,1,1,1,2,111,133,2,0
female,12,1121,112,1,1,1,5,111,137,2,1
female,9,1122,113,1,1,1,3,111,131,2,0
female,6,1210,111,1,1,1,3,111,131,1,0
male,10,1210,111,1,1,1,2,111,133,4,0
male,10,1122,113,1,1,1,3,120,131,2,1
female,10,1122,114,1,1,1,2,111,138,2,0
female,8,1122,125,1,1,1,1,111,137,2,0
male,5,1110,114,1,1,1,3,111,131,1,1
female,10,1122,113,1,1,1,2,111,135,2,0
female,9,1122,125,1,1,1,2,111,122,2,0
male,10,1122,114,1,1,1,5,120,135,2,1
male,11,1121,112,1,1,1,3,111,131,2,1
female,11,1122,113,1,1,1,2,111,131,2,0
male,11,1122,113,1,1,1,3,111,122,2,1
male,13,1210,111,1,1,1,2,120,111,1,1
male,4,1110,125,1,1,1,2,112,132,1,0
female,5,1110,113,1,1,1,2,112,132,1,0
male,7,1210,111,1,1,1,5,111,131,1,0
male,12,1122,114,1,1,1,2,111,124,2,1
male,11,1121,112,1,1,1,3,111,131,2,1
male,7,1121,112,1,1,1,2,111,132,2,0
male,8,1122,114,1,1,1,3,111,134,2,1
male,10,1122,125,1,1,1,4,111,131,2,1
male,7,1121,112,1,1,1,2,111,122,2,0
female,4,1110,114,1,1,1,3,111,131,1,0
male,7,1210,111,1,1,1,5,111,137,1,1
male,5,1110,114,1,1,3,4,112,133,1,0
male,8,1122,113,1,1,1,2,111,122,2,1
female,10,1122,114,1,1,1,5,111,138,2,0
male,13,1121,112,1,1,1,3,111,135,2,1
female,12,1131,112,1,1,1,1,111,138,1,0
female,10,1122,114,1,1,1,3,111,138,2,0
male,9,1122,114,1,1,1,1,111,136,2,0
female,6,1121,112,1,1,1,5,111,135,2,1
male,8,1131,112,1,1,1,2,111,135,1,0
male,11,1122,114,1,1,1,4,111,136,2,1
female,9,1122,125,1,1,1,1,111,137,2,1
male,11,1121,112,1,1,1,1,111,122,2,0
male,11,1122,113,1,1,3,1,120,131,2,0
female,9,1140,112,1,1,1,3,111,135,4,0
male,9,1122,114,1,1,1,2,111,122,2,0
female,11,1121,112,1,1,1,5,111,137,2,1
male,8,1121,112,1,1,1,4,111,133,2,1
male,8,1122,114,1,1,1,3,111,122,2,0
female,6,1110,113,1,1,1,3,111,135,1,0
female,12,1121,112,1,1,1,3,111,136,2,0
male,10,1122,114,1,1,1,1,111,122,2,0
female,12,1122,113,1,1,1,5,111,137,2,1
male,11,1122,113,1,1,1,5,111,137,2,1
female,12,1210,111,1,1,1,5,111,137,3,1
female,8,1122,114,2,1,1,5,111,137,2,1
male,8,1122,114,1,1,1,3,111,135,2,0
female,4,1220,113,2,1,1,0,111,131,1,0
male,8,1132,113,1,1,1,5,111,133,1,0
female,12,1122,114,1,1,1,2,120,139,2,0
male,7,1122,113,1,1,1,3,120,124,2,1
male,9,1122,114,1,1,1,2,111,122,2,1
male,7,1210,111,1,2,1,3,111,124,1,1
female,7,1131,112,1,1,1,5,120,134,1,1
male,11,1122,113,1,1,1,3,120,131,2,1
male,10,1122,114,1,1,1,3,111,134,2,1
female,10,1132,113,1,1,3,3,111,132,4,0
female,12,1121,112,1,1,1,3,111,136,2,0
male,9,1210,111,1,1,1,4,111,134,1,1
male,6,1121,112,1,1,1,3,111,122,2,0
female,7,1122,114,1,1,1,3,111,138,2,0
male,8,1132,113,1,1,1,5,111,136,1,1
female,5,1210,111,1,1,1,3,111,139,1,0
female,12,1210,111,1,1,1,2,111,135,4,1
female,5,1110,114,1,1,1,3,111,135,1,0
female,4,1110,125,1,1,1,2,112,131,1,0
male,12,1122,114,1,1,1,3,111,131,2,1
male,6,1131,112,1,1,1,5,111,122,1,1
male,10,1122,125,1,1,1,5,111,135,2,1
male,10,1122,114,1,2,3,5,111,135,2,1
male,11,1121,112,1,1,1,3,111,134,2,1
female,8,1122,126,1,1,1,3,111,138,2,1
female,9,1122,125,1,1,1,2,111,138,2,0
female,12,1122,113,1,1,2,1,111,138,2,0
male,7,1121,112,1,1,1,2,111,122,2,0
female,7,1121,112,1,1,1,5,111,137,2,1
female,6,1121,112,1,1,1,5,111,138,2,1
female,12,1140,112,1,1,1,3,111,122,4,0
male,10,1122,126,1,1,3,1,111,134,2,0
male,10,1121,112,1,1,1,3,111,133,2,0
male,10,1122,126,1,1,1,3,111,122,2,1
female,10,1140,114,1,1,1,3,111,131,4,0
female,5,1131,112,2,1,1,5,111,138,1,1
male,9,1122,113,1,1,3,1,111,135,2,0
female,8,1210,111,1,1,1,1,111,136,1,0
male,12,1210,111,1,1,1,5,111,138,4,0
male,7,1131,112,1,1,1,2,111,135,4,0
male,9,1122,114,1,1,1,3,111,122,2,0
male,4,1110,113,1,1,1,3,112,135,1,0
male,5,1131,112,1,1,1,3,111,131,1,0
female,10,1122,114,1,1,1,3,111,122,2,0
male,7,1122,125,1,1,1,3,120,111,2,1
female,8,1140,112,1,1,1,2,111,138,1,0
male,11,1121,112,1,1,1,5,111,138,2,1
male,11,1122,125,1,1,1,3,120,111,2,1
male,5,1110,112,1,1,1,3,111,135,1,0
female,11,1210,111,1,1,1,5,111,137,4,1
female,4,1110,113,1,1,1,1,111,132,1,0
female,7,1122,113,1,1,1,2,120,132,2,1
male,8,1121,112,2,1,1,5,111,135,2,1
male,8,1122,125,1,1,1,3,111,111,2,0
male,4,1110,114,1,1,1,2,112,135,1,0
female,7,1122,126,1,1,1,5,111,138,2,0
male,5,1110,114,1,1,1,3,111,131,1,1
female,6,1121,112,1,1,1,5,111,135,2,1
female,7,1131,112,1,1,1,5,111,138,1,1
male,9,1210,111,1,1,1,5,111,134,4,1
male,9,1122,114,1,1,1,5,111,122,2,1
male,4,1110,113,1,1,1,1,112,131,1,0
female,6,1121,112,1,1,1,3,111,138,2,0
male,6,1210,111,1,1,1,3,111,131,1,0
female,10,1121,112,1,1,1,2,111,122,2,0
male,8,1210,111,1,1,1,2,111,131,1,0
female,9,1122,114,1,1,1,3,111,139,2,0
male,11,1121,112,1,1,1,2,111,131,2,0
female,7,1110,114,1,1,1,3,111,131,1,0
female,4,1110,114,1,1,1,2,112,131,1,0
male,11,1122,114,1,1,1,2,111,135,2,1
male,7,1122,113,1,1,1,3,111,122,2,1
male,7,1122,113,1,1,1,3,111,132,2,0
female,8,1122,113,1,1,1,2,111,138,2,0
male,13,1122,113,1,1,1,3,120,111,2,1
male,11,1121,112,1,1,1,5,111,136,2,1
male,12,1121,112,1,1,1,3,111,124,2,1
female,10,1122,113,1,1,1,3,111,131,2,0
female,7,1121,112,1,1,1,2,111,138,2,0
male,6,1132,113,1,1,1,2,111,131,1,0
male,10,1122,114,1,1,1,2,111,122,2,0
male,8,1122,114,1,1,1,4,111,136,2,0
male,12,1122,113,1,1,1,2,120,111,2,1
male,9,1122,114,1,1,1,3,120,124,2,1
male,12,1210,111,1,1,1,5,120,135,4,1
female,9,1122,114,1,1,1,5,111,137,2,1
female,11,1122,125,1,1,1,5,111,137,2,1
male,7,1131,112,1,1,3,3,111,136,1,0
male,11,1122,113,1,1,1,5,120,132,2,1
male,8,1122,114,1,1,1,5,111,136,2,1
male,10,1132,114,1,1,1,2,120,111,4,1
male,5,1131,112,1,1,3,3,120,131,1,1
male,7,1122,125,1,1,1,5,120,111,2,1
male,7,1122,113,1,1,1,3,111,122,2,0
female,7,1122,113,1,1,1,3,111,131,2,0
female,11,1122,113,1,1,1,5,111,137,2,1
female,8,1122,114,1,3,3,5,111,137,2,1
female,4,1110,113,1,1,1,2,111,139,1,0
male,4,1110,114,1,1,1,3,112,135,1,0
male,7,1121,112,1,1,1,5,111,122,2,1
male,4,1110,112,1,1,1,1,112,132,1,0
female,4,1110,114,1,1,1,3,111,135,1,0
female,5,1110,114,1,1,1,2,112,131,1,0
female,9,1122,114,1,1,1,1,111,131,2,0
male,6,1110,113,1,1,1,5,120,111,1,1
female,14,1121,112,1,1,1,2,111,139,2,1
female,11,1122,114,1,1,1,3,111,135,2,1
female,4,1110,114,1,1,1,2,112,135,1,0
female,8,1140,114,1,1,1,5,111,137,4,1
male,4,1110,114,1,1,1,3,112,111,1,0
female,4,1110,114,1,1,1,2,112,131,1,0
female,9,1122,114,1,1,1,1,111,138,2,0
male,13,1131,112,1,1,1,3,111,135,4,0
male,7,1210,111,1,3,3,1,111,135,2,0
male,10,1122,113,1,1,1,1,111,139,2,0
male,11,1121,112,1,1,1,5,111,133,2,1
female,6,1131,112,1,1,1,3,111,135,1,0
female,10,1122,114,1,1,1,2,111,122,2,0
female,7,1122,114,1,1,1,5,120,135,2,1
male,11,1122,126,1,1,1,5,111,137,2,1
male,9,1210,111,1,1,1,3,111,122,4,1
female,8,1122,114,1,1,1,3,111,132,2,0
male,7,1121,112,1,1,1,5,111,136,2,1
female,10,1122,114,1,1,1,2,111,131,2,0
male,8,1121,112,1,1,1,5,111,134,2,0
female,7,1210,111,1,1,1,5,111,137,1,1
female,5,1210,111,1,1,1,5,111,131,1,1
male,11,1121,112,1,1,1,3,120,131,2,1
male,6,1131,112,1,1,1,2,111,131,1,0
female,10,1122,113,1,1,1,3,111,138,2,0
female,8,1122,114,1,1,1,1,111,135,2,0
male,10,1122,125,1,1,1,5,111,133,2,1
female,4,1110,125,1,1,1,1,112,131,1,0
male,7,1210,111,1,1,1,3,111,136,1,1
male,6,1220,112,1,3,3,5,111,137,1,1
female,10,1122,113,1,1,1,2,111,138,2,0
male,4,1110,125,1,1,3,1,112,131,1,0
male,11,1122,113,1,1,1,5,111,137,2,1
male,9,1122,125,1,1,1,5,111,135,2,1
male,7,1122,113,1,1,1,3,111,139,2,1
male,7,1131,112,1,1,1,5,111,122,1,1
male,10,1122,125,1,1,1,5,120,138,2,1
female,8,1131,112,1,1,1,2,111,135,1,0
male,10,1122,114,1,1,1,1,111,122,2,0
female,11,1122,113,1,1,1,3,111,138,2,0
male,10,1122,126,1,1,1,3,120,139,2,0
female,7,1132,114,1,1,1,5,111,138,1,0
female,7,1210,111,1,1,3,2,111,132,1,0
female,5,1210,111,1,1,1,3,112,133,1,0
female,12,1121,112,1,1,1,1,111,131,2,0
male,8,1122,114,1,1,1,5,111,136,2,0
male,8,1121,112,1,1,1,3,111,124,2,1
female,12,1210,111,1,1,1,5,111,139,4,0
male,9,1210,111,1,1,1,1,111,122,1,0
male,7,1122,113,1,1,1,0,111,135,2,1
male,4,1110,114,1,1,1,2,111,139,1,0
male,7,1210,111,1,1,1,2,111,131,1,0
male,8,1122,114,1,1,1,3,120,111,2,1
female,5,1110,114,1,1,1,3,112,133,1,0
male,6,1210,111,1,1,1,5,112,137,1,1
male,10,1110,114,1,1,1,1,111,135,1,0
female,10,1122,125,1,1,1,5,111,137,2,0
female,5,1210,111,1,1,1,2,111,131,1,0
female,9,1122,114,1,1,1,3,111,136,2,0
female,5,1220,113,1,1,1,4,112,136,1,1
male,7,1122,125,1,1,1,3,111,136,2,0
male,11,1122,114,1,1,3,4,111,136,2,0
male,8,1210,111,1,1,1,5,111,122,4,1
female,8,1210,111,1,1,1,5,111,138,1,1
female,9,1140,114,1,1,1,5,111,122,4,1
male,9,1122,114,1,1,2,2,111,135,2,0
female,4,1110,125,1,1,1,2,112,131,1,0
female,6,1122,114,1,1,1,3,111,135,2,0
male,9,1122,114,1,1,1,3,111,133,2,1
male,12,1122,113,1,1,1,2,120,111,2,1
female,5,1110,113,1,1,1,5,111,137,1,1
female,8,1122,113,1,2,2,3,111,122,2,0
female,5,1131,112,1,1,1,3,111,138,1,0
female,8,1122,114,1,1,1,3,111,139,2,0
male,6,1210,111,1,1,1,5,111,138,1,1
female,8,1210,111,1,1,1,5,111,138,1,1
female,10,1210,111,1,1,1,5,111,136,1,1
female,8,1132,113,1,1,1,5,111,138,1,1
female,11,1121,112,1,1,1,2,111,133,2,0
male,11,1122,113,1,1,1,1,111,135,2,0
female,7,1122,114,1,1,1,3,120,131,2,1
male,8,1122,114,1,1,1,5,111,122,2,1
male,8,1122,114,1,1,1,3,111,133,2,1
female,10,1132,114,1,1,1,5,111,136,1,1
male,12,1121,112,1,1,1,5,111,137,2,1
female,12,1210,111,1,1,1,3,111,138,3,1
female,9,1122,114,1,1,1,2,111,131,2,0
male,5,1210,111,1,1,1,3,112,131,1,0
female,6,1210,111,1,1,1,3,111,133,1,0
male,8,1132,113,1,1,3,4,111,135,1,1
male,8,1121,112,2,1,1,5,111,137,2,1
male,10,1121,112,1,1,1,4,111,135,2,1
male,4,1110,114,1,1,1,2,112,131,1,0
female,9,1122,114,1,1,1,2,111,133,2,1
male,8,1122,114,1,1,1,3,111,111,2,1
female,7,1131,112,1,1,1,2,111,122,1,0
male,9,1122,114,1,1,1,2,120,111,2,1
male,10,1122,114,1,1,1,4,111,122,2,1
female,5,1110,114,1,1,1,3,111,136,1,0
female,9,1210,111,1,1,1,3,111,135,1,0
male,7,1132,113,1,1,1,3,111,122,1,1
male,7,1131,112,1,1,1,3,111,136,1,1
male,6,1210,111,1,1,1,5,111,135,1,1
male,8,1132,113,1,1,1,3,111,136,3,0
male,8,1122,125,1,1,1,5,111,138,2,1
female,10,1121,112,1,1,1,2,111,138,2,0
female,13,1121,112,1,1,1,3,111,131,2,0
male,8,1122,125,1,1,1,5,111,137,2,1
male,13,1122,113,1,1,1,1,120,111,2,1
male,10,1122,113,1,1,1,5,111,135,2,1
female,12,1121,112,1,1,1,2,111,139,2,0
female,5,1131,112,2,1,1,1,111,136,1,0
female,8,1122,125,1,1,1,3,111,134,2,0
female,5,1110,113,1,1,1,3,111,133,1,0
female,7,1210,111,1,1,3,3,111,135,1,0
male,8,1131,112,1,1,1,3,111,134,1,1
female,5,1110,113,1,1,1,2,111,122,1,0
male,8,1131,112,1,1,1,4,111,135,1,1
male,8,1122,126,1,1,1,3,111,135,2,1
female,5,1110,113,1,1,1,3,112,139,1,0
male,10,1122,125,1,1,1,5,111,135,2,1
male,10,1122,114,1,1,1,5,111,131,2,1
male,8,1122,114,1,1,1,3,111,131,2,1
female,11,1122,114,1,1,1,2,111,122,2,0
female,12,1122,113,1,1,1,2,111,136,2,0
female,8,1122,114,1,1,1,3,111,131,2,0
female,4,1110,125,1,1,3,2,111,131,1,0
female,8,1131,112,1,1,1,2,111,134,4,0
male,8,1122,125,1,1,1,5,111,124,2,1
male,11,1121,112,1,1,1,5,111,122,2,1
male,12,1121,112,1,1,1,3,111,131,2,1
male,8,1122,125,1,1,1,3,111,136,2,0
